input,lower_deck_output,upper_deck_winner,winner_activation,target,target_activation,excluded,over_threshold
####puor#####,poopuuo,proprio,0.047045,pouvoir,0.000261,0,0
####vuor#####,vourour,vitreux,0.007734,vouloir,0.001459,0,0
####pede#####,pedeede,peupler,0.008432,prendre,0.000024,0,0
####flor#####,floffor,forfait,0.039902,falloir,0.001471,0,0
####tovr#####,totrtro,torrent,0.015593,trouver,0.001039,0,0
####lisr#####,lisliis,livreur,0.019283,laisser,0.000294,0,0
####arvr#####,aavrraa,dévorer,0.020134,arriver,0.000017,0,0
####peir#####,peipeir,peureux,0.035263,premier,0.000045,0,0
####smlr#####,slosbrl,sailler,0.018869,sembler,0.000177,0,0
####qeqe#####,qecqque,quelque,0.048022,quelque,0.048022,0,0
####dvnr#####,dêrrina,désigné,0.012200,devenir,0.000907,0,0
####rvnr#####,nrvrrnn,terrine,0.010032,revenir,0.000018,0,0
####peqe#####,peueqde,peindre,0.018505,presque,0.000652,0,0
####aplr#####,aapppao,ampleur,0.003688,appeler,0.000134,0,0
####artr#####,aatrrat,amarrer,0.003421,arrêter,0.000110,0,0
####pnat#####,prnpant,pimpant,0.059960,pendant,0.001888,0,0
####cabe#####,cacrabe,carreau,0.015663,chambre,0.000007,0,0
####drir#####,ddrrrir,décrire,0.011968,dernier,0.000342,0,0
####asor#####,adorsor,agilité,0.000539,asseoir,0.000199,0,0
####tunr#####,tltttuu,trotter,0.067298,tourner,0.004206,0,0
####isat#####,zitiiat,délicat,0.004641,instant,0.000010,0,0
####mrhr#####,hmêrhor,horreur,0.110128,marcher,0.000241,0,0
####slne#####,slnsenn,sablier,0.005807,silence,0.000037,0,0
####qitr#####,qrqqtet,quitter,0.017522,quitter,0.017522,0,0
####éotr#####,ééurtrt,écarter,0.059871,écouter,0.002345,0,0
####esyr#####,zyyryer,relayer,0.005237,essayer,0.001899,0,0
####nueu#####,uunneuu,donneur,0.009327,nouveau,0.000011,0,0
####srot#####,srostot,cuistot,0.007419,surtout,0.000036,0,0
####pusr#####,puprurs,pourrir,0.019793,pousser,0.000208,0,0
####pros#####,poopsrs,peupler,0.019673,parfois,0.000380,0,0
####obir#####,ooirrii,odorant,0.005358,oublier,0.000738,0,0
####suet#####,susseut,suspect,0.038909,souvent,0.001114,0,0
####viue#####,voivere,voilier,0.040649,voiture,0.004174,0,0
####fnte#####,fefffne,fervent,0.015611,fenêtre,0.001567,0,0
####rnrr#####,rrprrèr,pourrir,0.017481,rentrer,0.000225,0,0
####mnrr#####,mèarzrr,mourant,0.011448,montrer,0.000584,0,0
####fmle#####,flmfôle,flambée,0.038925,famille,0.000608,0,0
####lmèe#####,lyulème,collège,0.018100,lumière,0.000397,0,0
####taal#####,tatttal,trotter,0.198647,travail,0.000566,0,0
####suie#####,suisive,cuisine,0.004396,sourire,0.000674,0,0
####afie#####,affriae,avarice,0.001424,affaire,0.000966,0,0
####taes#####,ttsttau,trotter,0.077955,travers,0.000102,0,0
####cagr#####,caôrhèl,courant,0.016265,changer,0.000006,0,0
####cmet#####,cuôceet,cerceau,0.070013,comment,0.000106,0,0
####gnrl#####,glôggèl,grogner,0.025508,général,0.001532,0,0
####pasr#####,pappaas,peupler,0.011777,plaisir,0.000114,0,0
####gisr#####,gigrgir,aigreur,0.016069,glisser,0.000071,0,0
####aotr#####,adtrtrr,alerter,0.070091,ajouter,0.000620,0,0
####ocpr#####,ooprppo,échoppe,0.043916,occuper,0.000412,0,0
####dcdr#####,didrdcd,décrire,0.010625,décider,0.000203,0,0
####suan#####,suasann,luisant,0.003064,soudain,0.000039,0,0
####lrqe#####,llclqge,quelque,0.004739,lorsque,0.000270,0,0
####cmtr#####,courhey,carreau,0.025489,compter,0.000279,0,0
####muas#####,maasuas,matelas,0.025456,mauvais,0.000650,0,0
####rptr#####,prprrrt,pourrir,0.006127,répéter,0.000008,0,0
####cuer#####,cuccuer,cerceau,0.009493,couleur,0.000018,0,0
####junl#####,jlllunl,jaillir,0.033929,journal,0.002079,0,0
####mnur#####,moururm,mourant,0.141120,manquer,0.000428,0,0
####smie#####,soiseme,sommier,0.037012,semaine,0.002753,0,0
####cuhr#####,chuchor,coucher,0.658746,coucher,0.658746,0,1
####aacr#####,accrcar,aigreur,0.008369,avancer,0.000164,0,0
####oele#####,oleeele,offense,0.003732,oreille,0.000289,0,0
####tuhr#####,tôuttor,trotter,0.141920,toucher,0.007931,0,0
####huex#####,huuheux,heureux,0.126006,heureux,0.126006,0,0
####cran#####,cracaan,cerceau,0.018172,certain,0.000505,0,0
####june#####,jajjune,jaillir,0.009725,journée,0.006383,0,0
####prot#####,pooprrt,proprio,0.031118,partout,0.000284,0,0
####evyr#####,zyyryrr,zingaro,0.001456,envoyer,0.000073,0,0
####bett#####,bebtett,content,0.018657,bientôt,0.001278,0,0
####esie#####,kseeese,épreuve,0.000871,ensuite,0.000015,0,0
####fapr#####,fapraao,flirter,0.048576,frapper,0.000784,0,0
####perr#####,peprper,pompier,0.029825,pleurer,0.000262,0,0
####bner#####,brbrber,bourrer,0.012831,bonheur,0.000387,0,0
####sfie#####,seisare,exister,0.035492,suffire,0.000829,0,0
####mnèe#####,mynmère,manière,0.021524,manière,0.021524,0,0
####pnhr#####,poêrher,pourrir,0.035270,pencher,0.003294,0,0
####psae#####,ppppese,peupler,0.009739,passage,0.001157,0,0
####rfsr#####,frêrfès,aborder,0.003088,refuser,0.000025,0,0
####ahtr#####,hôhrtat,heurter,0.040399,acheter,0.000183,0,0
####eitr#####,eierter,flirter,0.018059,exister,0.000428,0,0
####vlae#####,vlvleaà,vouloir,0.083720,village,0.038919,0,0
####rtnr#####,trrrron,amarrer,0.012942,retenir,0.000004,0,0
####srie#####,srisire,serrure,0.023143,service,0.000062,0,0
####péet#####,péppprt,publier,0.006512,présent,0.000630,0,0
####fule#####,fuleuue,feindre,0.011435,feuille,0.000639,0,0
####edot#####,oddtttt,endroit,0.000832,endroit,0.000832,0,0
####ciie#####,ciiciie,circuit,0.005983,cuisine,0.002898,0,0
####eprr#####,zepreer,terreur,0.005214,espérer,0.000046,0,0
####cosr#####,cocroos,courant,0.025011,choisir,0.000024,0,0
####curr#####,crurérr,coureur,0.033928,couvrir,0.000626,0,0
####piqe#####,pqppqee,pupille,0.006154,puisque,0.004014,0,0
####rpot#####,pooprro,proprio,0.018378,rapport,0.000800,0,0
####mide#####,mimmide,limpide,0.006906,moindre,0.000017,0,0
####eepe#####,expeeye,calepin,0.011070,exemple,0.000780,0,0
####asrr#####,aarrser,terreur,0.002702,assurer,0.000012,0,0
####apyr#####,zypryro,appuyer,0.017524,appuyer,0.017524,0,0
####catr#####,cacrtat,carreau,0.009607,chanter,0.000031,0,0
####rlvr#####,rlvrrrà,livreur,0.022549,relever,0.000008,0,0
####tanr#####,taatany,tentant,0.058951,traîner,0.000054,0,0
####hstr#####,hhârhtt,heureux,0.048887,hésiter,0.003231,0,0
####cagr#####,caôrhèl,courant,0.016265,charger,0.002279,0,0
####rusr#####,rusrrus,dessous,0.006472,réussir,0.000211,0,0
####scne#####,scnsenu,console,0.005566,seconde,0.000004,0,0
####éonr#####,égororr,éperdre,0.022295,étonner,0.000061,0,0
####scur#####,scusaru,viscère,0.008855,secouer,0.000000,0,0
####almr#####,aaplmam,douleur,0.002316,allumer,0.000089,0,0
####caer#####,cacrcer,courber,0.002111,chaleur,0.000003,0,0
####bisr#####,bisrbir,bourbon,0.208315,baisser,0.000528,0,0
####smel#####,syeseel,serment,0.065353,sommeil,0.008970,0,0
####msqe#####,mymmqde,serment,0.005105,musique,0.000045,0,0
####hbtr#####,hhbrhtt,heureux,0.038755,habiter,0.001025,0,0
####dvnr#####,dêrrina,désigné,0.012200,deviner,0.000110,0,0
####éede#####,ééueede,élément,0.005927,étendre,0.000068,0,0
####mmie#####,mimmire,mamelle,0.041190,mémoire,0.026490,0,0
####sprr#####,srpsprr,bonsoir,0.000738,séparer,0.000002,0,0
####rmnr#####,mèrrrnn,aborder,0.003599,ramener,0.000015,0,0
####inrr#####,inrrier,irriter,0.001412,ignorer,0.000535,0,0
####cmin#####,chicins,cerceau,0.042322,combien,0.000089,0,0
####olgr#####,oôgglèr,orageux,0.018094,obliger,0.000278,0,0
####imne#####,inmrime,combine,0.000286,immense,0.000030,0,0
####pood#####,poopodo,torpédo,0.053273,profond,0.000141,0,0
####emnr#####,enmreen,correct,0.002542,emmener,0.000085,0,0
####cuor#####,cuocoor,cerceau,0.019123,couloir,0.000110,0,0
####efne#####,feïeene,indemne,0.001081,enfance,0.000007,0,0
####érne#####,éééenré,médecin,0.004855,étrange,0.000052,0,0
####mrur#####,muururm,mourant,0.079463,marquer,0.000204,0,0
####éltr#####,ltpétet,smoking,0.000445,éclater,0.000079,0,0
####sufe#####,fusesvf,funeste,0.007721,souffle,0.000074,0,0
####rpne#####,rrpppne,frapper,0.003635,réponse,0.000033,0,0
####desr#####,desreer,danseur,0.004483,dresser,0.002981,0,0
####mreu#####,mrememu,murmure,0.045091,morceau,0.000425,0,0
####rsur#####,uuureuu,coureur,0.007622,risquer,0.000010,0,0
####rtrr#####,trprrèr,trotter,0.005401,retirer,0.000016,0,0
####lbré#####,lèlblré,combiné,0.019176,liberté,0.000609,0,0
####hner#####,hhnrher,heureux,0.048584,honneur,0.008954,0,0
####itrt#####,iittirt,irriter,0.001477,intérêt,0.000180,0,0
####topr#####,totrtoo,torpédo,0.071056,tromper,0.000056,0,0
####drgr#####,dègrrgo,décrire,0.028077,diriger,0.000266,0,0
####arèe#####,aalaère,compère,0.006617,arrière,0.005073,0,0
####eggr#####,ggggggr,gigoter,0.048025,engager,0.001525,0,0
####mler#####,mlrmler,murmure,0.003659,malheur,0.000015,0,0
####éatr#####,éjurtrt,écarter,0.122831,écarter,0.122831,0,0
####duer#####,duurdur,douleur,0.006752,douleur,0.006752,0,0
####ceie#####,ceceiie,cuvette,0.001022,chemise,0.000093,0,0
####érsr#####,éérrres,amarrer,0.003965,écraser,0.000011,0,0
####tbeu#####,buûteuu,boiteux,0.038097,tableau,0.000030,0,0
####caeu#####,cauceau,cerceau,0.044109,chapeau,0.001412,0,0
####psin#####,poupinn,poussin,0.048750,passion,0.010544,0,0
####dcer#####,dêrrdcr,décrire,0.034656,docteur,0.000751,0,0
####cnet#####,coecent,cerceau,0.030455,content,0.000637,0,0
####cpbe#####,cyccbpe,concept,0.097114,capable,0.000726,0,0
####pogr#####,poorgèo,poireau,0.006784,plonger,0.000012,0,0
####bace#####,babbece,balance,0.031294,branche,0.000624,0,0
####mcie#####,mimmire,commune,0.001606,machine,0.000050,0,0
####cnel#####,clicell,crucial,0.059199,conseil,0.004586,0,0
####rpsr#####,prprrès,aborder,0.002772,reposer,0.000009,0,0
####raié#####,raariré,charité,0.003043,réalité,0.000028,0,0
####vcne#####,cecvene,couvent,0.015350,vacance,0.000036,0,0
####ivtr#####,vivrtro,vibrant,0.004294,inviter,0.000133,0,0
####ahvr#####,hhvrhar,heureux,0.059906,achever,0.000103,0,0
####rmlr#####,lèêrwal,tilleul,0.003480,remplir,0.000016,0,0
####bilr#####,biblbir,bourbon,0.196033,briller,0.016299,0,0
####otnr#####,ooortoo,fourgon,0.003367,obtenir,0.000023,0,0
####pide#####,pidpiie,pillage,0.005236,peindre,0.002735,0,0
####arve#####,aavevre,revivre,0.054583,arrivée,0.000786,0,0
####cuat#####,cuacaat,cracher,0.008486,courant,0.000090,0,0
####agas#####,algaaas,anglais,0.004039,anglais,0.004039,0,0
####elvr#####,vevvrvr,cerveau,0.008373,enlever,0.000472,0,0
####mrae#####,mrmmwre,murmure,0.024857,mariage,0.000032,0,0
####ipsr#####,iippies,clapier,0.006353,imposer,0.000007,0,0
####huer#####,hêuhhur,horreur,0.165621,hauteur,0.003713,0,0
####péor#####,ppppéro,proprio,0.040734,prévoir,0.000027,0,0
####cosr#####,cocroos,courant,0.025011,croiser,0.000041,0,0
####asne#####,aassane,bassine,0.001854,absence,0.000011,0,0
####patr#####,paprtrt,pupitre,0.012556,planter,0.000375,0,0
####ntrl#####,nlnltêl,tilleul,0.015358,naturel,0.003942,0,0
####mdcn#####,dêêcôdm,dresser,0.009404,médecin,0.000252,0,0
####atrr#####,aaartrr,trotter,0.005008,attirer,0.000005,0,0
####lnte#####,noûlltt,amollir,0.012335,lunette,0.000058,0,0
####vlné#####,vlïlené,éloigné,0.008254,volonté,0.000231,0,0
####tran#####,trataan,tentant,0.033656,terrain,0.000651,0,0
####caur#####,cauraru,courant,0.044927,claquer,0.000019,0,0
####câeu#####,câcueax,creuser,0.018737,château,0.000379,0,0
####éour#####,éourour,coureur,0.009618,évoquer,0.000019,0,0
####husr#####,husruur,horreur,0.089900,hausser,0.028875,0,0
####pesr#####,peppees,peupler,0.035994,presser,0.002141,0,0
####cuae#####,cuacure,chacune,0.028045,courage,0.000064,0,0
####efcr#####,ffcrecr,correct,0.003220,effacer,0.000010,0,0
####iuie#####,iiieire,origine,0.002072,inutile,0.000038,0,0
####duer#####,duurdur,douleur,0.006752,douceur,0.001886,0,0
####tatr#####,tatrtay,trotter,0.474301,traiter,0.001145,0,0
####cnir#####,cèirhis,cerceau,0.035595,confier,0.000025,0,0
####ftge#####,ffôgfge,falaise,0.004734,fatigue,0.000216,0,0
####hrer#####,hyêrhrr,heureux,0.052982,horreur,0.046158,0,0
####rclr#####,crêrhal,pluriel,0.004527,reculer,0.000001,0,0
####amrr#####,amarmrr,terreur,0.005544,admirer,0.000026,0,0
####téte#####,tétttte,entêter,0.023989,théâtre,0.001728,0,0
####mneu#####,mlememu,murmure,0.033844,manteau,0.001341,0,0
####casr#####,cacraas,carreau,0.039260,chasser,0.000038,0,0
####crex#####,crôccrx,concert,0.093735,curieux,0.001092,0,0
####hrzn#####,hynhznn,horizon,0.109385,horizon,0.109385,0,0
####srex#####,srôssrx,secours,0.011263,sérieux,0.002432,0,0
####mgsn#####,mismans,miennes,0.007886,magasin,0.000177,0,0
####cnat#####,crncant,cassant,0.009156,contact,0.000368,0,0
####nurr#####,nnnnnur,nourrir,0.049911,nourrir,0.049911,0,0
####cesr#####,cesreer,carreau,0.027938,creuser,0.000540,0,0
####pyae#####,pypeyyo,paysage,0.076006,paysage,0.076006,0,0
####atne#####,aateane,agaçant,0.000381,attente,0.000045,0,0
####fotr#####,fourtrt,flirter,0.016716,flotter,0.000133,0,0
####ééet#####,ééeeeet,élément,0.004430,élément,0.004430,0,0
####dpsr#####,drrpérs,dompter,0.060928,déposer,0.000280,0,0
####scéé#####,scseéré,écoeuré,0.005037,société,0.000033,0,0
####dsrr#####,drrrérr,danseur,0.043591,désirer,0.000032,0,0
####ecsr#####,essrers,aborder,0.003501,excuser,0.000031,0,0
####icnu#####,iiuccnu,caillou,0.014960,inconnu,0.001886,0,0
####etnu#####,eeeeeuu,chevelu,0.002306,entendu,0.000215,0,0
####mlde#####,dldmide,dormeur,0.019985,maladie,0.000035,0,0
####rvlr#####,rrvréèl,douleur,0.002162,révéler,0.000030,0,0
####éoin#####,éouroii,élément,0.006635,émotion,0.001499,0,0
####éosr#####,énororr,éperdre,0.009483,épouser,0.000025,0,0
####enyr#####,eyyryer,envoyer,0.004958,ennuyer,0.002344,0,0
####qaié#####,qqalaié,étalage,0.005982,qualité,0.000725,0,0
####mtèe#####,myutère,mystère,0.025244,matière,0.001279,0,0
####uies#####,unsuurs,ensuite,0.023432,univers,0.000248,0,0
####dggr#####,drggégr,daigner,0.034510,dégager,0.001377,0,0
####vtse#####,vesvere,voiture,0.004351,vitesse,0.000606,0,0
####éalr#####,égureal,éternel,0.006045,établir,0.000026,0,0
####evhr#####,hevrher,envahir,0.002412,envahir,0.002412,0,0
####fgrr#####,frnffer,siffler,0.007503,figurer,0.000016,0,0
####srae#####,sraskre,séduire,0.009135,surface,0.000548,0,0
####funr#####,ffurfun,flirter,0.039944,fournir,0.006864,0,0
####csue#####,ccusere,coucher,0.010436,costume,0.000001,0,0
####clie#####,câclive,incliné,0.010829,colline,0.002102,0,0
####esyr#####,zyyryer,relayer,0.005237,essuyer,0.001208,0,0
####hptl#####,hôbphtt,hospice,0.018639,hôpital,0.003215,0,0
####suae#####,susseae,suinter,0.005511,sauvage,0.000193,0,0
####lcue#####,luuleru,bouleau,0.008271,lecture,0.000035,0,0
####mrtr#####,mérrtoy,mourant,0.062053,mériter,0.002448,0,0
####paeu#####,paupeau,plumeau,0.016433,plateau,0.006819,0,0
####pisn#####,pipppnn,pimpant,0.070007,poisson,0.002396,0,0
####cdve#####,ceceire,ceindre,0.004721,cadavre,0.000275,0,0
####mlin#####,mlilion,marmite,0.014085,million,0.004579,0,0
####cueu#####,cueueuu,rugueux,0.005225,couteau,0.000025,0,0
####cane#####,caccane,cascade,0.003157,crainte,0.000112,0,0
####mncr#####,mlêrnel,mourant,0.013775,menacer,0.000158,0,0
####povr#####,povroro,pourrir,0.019829,prouver,0.000392,0,0
####dfne#####,denfônn,donnant,0.019634,défense,0.000180,0,0
####bzre#####,bézbzze,bouille,0.005611,bizarre,0.001173,0,0
####vstr#####,vlvvrrs,veuvage,0.015245,visiter,0.001076,0,0
####bnor#####,boorzor,boisson,0.022444,bonjour,0.001440,0,0
####rsre#####,ryrrrre,charrue,0.005349,réserve,0.000059,0,0
####frue#####,fuuffre,frusque,0.087653,fortune,0.000069,0,0
####voet#####,voïvert,couvert,0.042911,violent,0.001493,0,0
####ovir#####,oovrrro,odorant,0.005242,ouvrier,0.004034,0,0
####gipr#####,ziprpir,pourpre,0.015679,grimper,0.000922,0,0
####siat#####,sistaat,sentant,0.054931,suivant,0.000586,0,0
####getr#####,geggter,gigoter,0.190982,guetter,0.001915,0,0
####msèe#####,myusère,mystère,0.026342,mystère,0.026342,0,0
####aate#####,adteaae,arsenal,0.003296,abattre,0.000327,0,0
####dmnr#####,dêrrônd,décrire,0.010520,dominer,0.000159,0,0
####rdie#####,rêdride,torride,0.007250,réduire,0.000010,0,0
####atce#####,accence,licence,0.003040,article,0.000031,0,0
####paod#####,ponpado,proprio,0.067715,plafond,0.000146,0,0
####fotr#####,fourtrt,flirter,0.016716,frotter,0.000247,0,0
####clne#####,clncenu,clocher,0.074775,colonne,0.000015,0,0
####arse#####,assaare,affaire,0.006546,adresse,0.000072,0,0
####dsir#####,ddrrrir,dresser,0.016722,dossier,0.002387,0,0
####lbrr#####,biûlbrr,briller,0.015086,libérer,0.000034,0,0
####msin#####,mimsiin,malsain,0.029435,mission,0.023816,0,0
####rjtr#####,jrjrrêt,amarrer,0.019617,rejeter,0.000005,0,0
####sucl#####,suusuvl,sensuel,0.091702,sourcil,0.005552,0,0
####gnlr#####,glôgger,blaguer,0.018293,gonfler,0.001259,0,0
####jilt#####,jjjliat,jésuite,0.031559,juillet,0.010143,0,0
####msrr#####,mmrssrr,mousser,0.027160,mesurer,0.000171,0,0
####clnl#####,clnleal,clocher,0.042638,colonel,0.000332,0,0
####ssèe#####,syusère,sincère,0.049108,système,0.001305,0,0
